                                   Date     Open     High      Low    Close     Volume         Ema3         Ema6  Ema3-Ema6       Macd     Signal  Momentum  Macd-Signal        Rsi  Gradient      Buy     Sell        Target
Date                                                                                                                                                                                                                         
2021-02-26 12:55:00 2021-02-26 12:55:00  1220.87  1227.00  1220.24  1226.09  330.72685  1226.090000  1226.090000   0.000000   0.000000   0.000000  0.000000     0.000000  62.806236     683.0      NaN      NaN  [0.01, 0.01]
2021-02-26 13:00:00 2021-02-26 13:00:00  1226.94  1234.95  1226.23  1232.92  231.01917  1229.505000  1228.041429   1.463571   0.544843   0.108969  0.435875     0.435875  62.806236     -78.0      NaN      NaN  [0.01, 0.01]
2021-02-26 13:05:00 2021-02-26 13:05:00  1232.83  1233.39  1224.40  1224.53  330.87129  1227.017500  1227.038163  -0.020663   0.296218   0.146419  0.149800     0.149800  62.806236    -405.5      NaN      NaN  [0.01, 0.01]
2021-02-26 13:10:00 2021-02-26 13:10:00  1224.74  1230.39  1222.80  1224.81  183.54077  1225.913750  1226.401545  -0.487795   0.120387   0.141212 -0.020826    -0.020826  62.806236     348.5      NaN      NaN  [0.01, 0.01]
2021-02-26 13:15:00 2021-02-26 13:15:00  1224.83  1234.58  1224.22  1231.50  138.75525  1228.706875  1227.858247   0.848628   0.514930   0.215956  0.298975     0.298975  62.806236     490.5      NaN      NaN  [0.01, 0.01]
2021-02-26 13:20:00 2021-02-26 13:20:00  1231.70  1236.03  1229.17  1234.62  210.38733  1231.663437  1229.790176   1.873261   1.067066   0.386178  0.680889     0.680889  62.806236     125.0      NaN      NaN  [0.01, 0.01]
2021-02-26 13:25:00 2021-02-26 13:25:00  1234.10  1235.71  1232.56  1234.00  209.18573  1232.831719  1230.992983   1.838736   1.438033   0.596549  0.841484     0.841484  61.118336     -81.5      NaN      NaN  [0.01, 0.01]
2021-02-26 13:30:00 2021-02-26 13:30:00  1234.01  1235.78  1232.13  1232.99  147.57018  1232.910859  1231.563559   1.347300   1.631718   0.803583  0.828135     0.828135  58.067704    -176.0      NaN      NaN  [0.01, 0.01]
2021-02-26 13:35:00 2021-02-26 13:35:00  1233.00  1233.00  1227.00  1230.48  111.52148  1231.695430  1231.253971   0.441459   1.564643   0.955795  0.608848     0.608848  50.544156      -9.5      NaN      NaN  [0.01, 0.01]
2021-02-26 13:40:00 2021-02-26 13:40:00  1230.45  1235.00  1229.26  1232.80  141.31675  1232.247715  1231.695693   0.552021   1.679332   1.100502  0.578830     0.578830  56.758363    -154.0      NaN      NaN  [0.01, 0.01]
2021-02-26 13:45:00 2021-02-26 13:45:00  1233.02  1233.22  1225.14  1227.40  184.66738  1229.823857  1230.468352  -0.644495   1.319281   1.144258  0.175023     0.175023  42.013419    -459.0      NaN      NaN  [0.01, 0.01]
2021-02-26 13:50:00 2021-02-26 13:50:00  1227.24  1229.56  1222.58  1223.62  230.32714  1226.721929  1228.511680  -1.789752   0.720617   1.059530 -0.338913    -0.338913  34.487575    -115.0      NaN      NaN  [0.01, 0.01]
2021-02-26 13:55:00 2021-02-26 13:55:00  1223.48  1226.60  1222.93  1225.10   84.05347  1225.910964  1227.536915  -1.625950   0.361428   0.919909 -0.558481    -0.558481  39.573239    -115.5      NaN      NaN  [0.01, 0.01]
